all_requests,delta,compression_time
1024,1,0.00209808349609375
2048,1,0.0022199153900146484
4096,1,0.002705097198486328
8192,1,0.003082275390625
16384,1,0.004902839660644531
32768,1,0.0077478885650634766
65536,1,0.013652324676513672
131072,1,0.025456666946411133
1024,2,0.002103567123413086
2048,2,0.0023314952850341797
4096,2,0.002689361572265625
8192,2,0.005650758743286133
16384,2,0.004941225051879883
32768,2,0.007972002029418945
65536,2,0.013827800750732422
131072,2,0.02618265151977539
1024,3,0.001800537109375
2048,3,0.0019855499267578125
4096,3,0.0025997161865234375
8192,3,0.0034072399139404297
16384,3,0.004859447479248047
32768,3,0.009461641311645508
65536,3,0.013825654983520508
131072,3,0.025828838348388672
1024,4,0.0020978450775146484
2048,4,0.0020728111267089844
4096,4,0.0024437904357910156
8192,4,0.003420591354370117
16384,4,0.004921913146972656
32768,4,0.007877111434936523
65536,4,0.013739585876464844
131072,4,0.025424957275390625
1024,5,0.0020253658294677734
2048,5,0.002028226852416992
4096,5,0.0026137828826904297
8192,5,0.003401517868041992
16384,5,0.004598140716552734
32768,5,0.00777888298034668
65536,5,0.013628721237182617
131072,5,0.025517940521240234
