solver_status:4
Assignment solution for R[0]:
request_id,strategy,time_slot,emission,error
0,0,0,100,6
1,0,0,100,6
2,0,0,100,6
3,0,0,100,6
4,0,0,100,6
5,0,0,100,6
6,0,0,100,6
7,0,0,100,6
8,0,0,100,6
9,0,0,100,6
10,0,0,100,6
11,0,0,100,6
12,0,0,100,6
13,0,0,100,6
14,0,0,100,6
15,0,0,100,6
16,0,0,100,6
17,0,0,100,6
18,0,0,100,6
19,0,0,100,6
20,0,0,100,6
21,0,0,100,6
22,0,0,100,6
23,0,0,100,6
24,0,0,100,6
25,0,0,100,6
26,0,0,100,6
27,0,0,100,6
28,0,0,100,6
29,0,0,100,6
30,0,0,100,6
31,0,0,100,6
32,0,0,100,6
33,0,0,100,6
34,0,0,100,6
35,0,0,100,6
36,0,0,100,6
37,0,0,100,6
38,0,0,100,6
39,0,0,100,6
40,0,0,100,6
41,0,0,100,6
42,0,0,100,6
43,0,0,100,6
44,0,0,100,6
45,0,0,100,6
46,0,0,100,6
47,0,0,100,6
48,0,0,100,6
49,0,0,100,6
50,0,0,100,6
51,0,0,100,6
52,0,0,100,6
53,0,0,100,6
54,0,0,100,6
55,0,0,100,6
56,0,0,100,6
57,0,0,100,6
58,0,0,100,6
59,0,0,100,6
60,0,0,100,6
61,0,0,100,6
62,0,0,100,6
63,0,0,100,6
64,0,0,100,6
65,0,0,100,6
66,0,0,100,6
67,0,0,100,6
68,0,0,100,6
69,0,0,100,6
70,0,0,100,6
71,0,0,100,6
72,0,0,100,6
73,0,0,100,6
74,0,0,100,6
75,0,0,100,6
76,0,0,100,6
77,0,0,100,6
78,1,2,800,3
79,1,2,800,3
80,1,2,800,3
81,1,2,800,3
82,1,2,800,3
83,1,2,800,3
84,1,2,800,3
85,1,2,800,3
86,1,2,800,3
87,1,2,800,3
88,1,2,800,3
89,1,2,800,3
90,0,2,80,6
91,0,2,80,6
92,1,2,800,3
93,1,2,800,3
94,1,2,800,3
95,0,2,80,6
96,1,2,800,3
97,1,2,800,3
98,1,2,800,3
99,1,2,800,3
100,0,2,80,6
101,1,2,800,3
102,1,2,800,3
103,1,2,800,3
104,1,2,800,3
105,1,2,800,3
106,1,2,800,3
107,0,2,80,6
108,1,2,800,3
109,0,2,80,6
110,0,2,80,6
111,1,2,800,3
112,1,2,800,3
113,1,2,800,3
114,1,2,800,3
115,1,2,800,3
116,1,2,800,3
117,0,2,80,6
118,0,2,80,6
119,1,2,800,3
120,1,2,800,3
121,1,2,800,3
122,1,2,800,3
123,1,2,800,3
124,1,2,800,3
125,0,2,80,6
126,1,2,800,3
127,1,2,800,3
128,1,2,800,3
129,1,2,800,3
130,0,2,80,6
131,1,2,800,3
132,1,2,800,3
133,0,2,80,6
134,1,2,800,3
135,0,2,80,6
136,1,2,800,3
137,1,2,800,3
138,1,2,800,3
139,1,2,800,3
140,1,2,800,3
141,1,2,800,3
142,1,2,800,3
143,1,2,800,3
144,1,2,800,3
145,1,2,800,3
146,1,2,800,3
147,1,2,800,3
148,1,2,800,3
149,1,2,800,3
150,1,2,800,3
151,1,2,800,3
152,1,2,800,3
153,1,2,800,3
154,0,2,80,6
155,1,2,800,3
156,1,2,800,3
157,1,2,800,3
158,0,2,80,6
159,0,2,80,6
160,0,2,80,6
161,0,2,80,6
162,0,2,80,6
163,0,2,80,6
164,0,2,80,6
165,0,2,80,6
166,0,2,80,6
167,0,2,80,6
168,0,2,80,6
169,0,2,80,6
170,0,2,80,6
171,0,2,80,6
172,0,2,80,6
173,0,2,80,6
174,0,2,80,6
175,0,2,80,6
176,0,2,80,6
177,0,2,80,6
178,0,2,80,6
179,0,2,80,6
180,0,2,80,6
181,0,2,80,6
182,0,2,80,6
183,0,2,80,6
184,0,2,80,6
185,1,2,800,3
186,0,2,80,6
187,0,2,80,6
188,0,2,80,6
189,0,2,80,6
190,0,2,80,6
191,0,2,80,6
192,0,2,80,6
193,0,2,80,6
194,0,2,80,6
195,0,2,80,6
196,0,2,80,6
197,0,2,80,6
198,0,0,100,6
199,0,0,100,6
Statistics:
R[0] max_weighted_error_threshold: 1000
objective_value:43191040.0
all_emissions:65840
slot_emissions:[8000, 0, 57840, 0, 0]
all_errors:999
slot_errors:[480, 0, 519, 0, 0]
conflicts:0,branches:21995,wall_time:0.12069355500000001
solve_time:0.1207

