all_requests,computing_time,solver_status,solve_time,objective_value,all_emissions,slot_emissions,all_errors,slot_errors,iteration
1024,0.4378383159637451,4,0.036,481800.0,80300,[80300],999,[999],1
1024,0.47421884536743164,4,0.0361,481800.0,80300,[80300],999,[999],2
1024,0.6438906192779541,4,0.0882,481800.0,80300,[80300],999,[999],3
1024,0.4462883472442627,4,0.0361,481800.0,80300,[80300],999,[999],4
1024,0.48578834533691406,4,0.036,481800.0,80300,[80300],999,[999],5
1024,0.4842102527618408,4,0.0358,481800.0,80300,[80300],999,[999],6
1024,0.48287057876586914,4,0.036,481800.0,80300,[80300],999,[999],7
1024,0.49009251594543457,4,0.0359,481800.0,80300,[80300],999,[999],8
1024,0.4860856533050537,4,0.036,481800.0,80300,[80300],999,[999],9
1024,0.45010900497436523,4,0.036,481800.0,80300,[80300],999,[999],10
2048,0.4916880130767822,4,0.0373,883300.0,80300,[80300],999,[999],1
2048,0.4866657257080078,4,0.0367,883300.0,80300,[80300],999,[999],2
2048,0.4904773235321045,4,0.0367,883300.0,80300,[80300],999,[999],3
2048,0.49166297912597656,4,0.0361,883300.0,80300,[80300],999,[999],4
2048,0.4998016357421875,4,0.047,883300.0,80300,[80300],999,[999],5
2048,0.4965221881866455,4,0.0414,883300.0,80300,[80300],999,[999],6
2048,0.4929819107055664,4,0.042,883300.0,80300,[80300],999,[999],7
2048,0.48883819580078125,4,0.0363,883300.0,80300,[80300],999,[999],8
2048,0.4890432357788086,4,0.0369,883300.0,80300,[80300],999,[999],9
2048,0.4872581958770752,4,0.0361,883300.0,80300,[80300],999,[999],10
4096,0.48511242866516113,4,0.0364,1686300.0,80300,[80300],999,[999],1
4096,0.4843287467956543,4,0.037,1686300.0,80300,[80300],999,[999],2
4096,0.4690389633178711,4,0.0364,1686300.0,80300,[80300],999,[999],3
4096,0.43276119232177734,4,0.0361,1686300.0,80300,[80300],999,[999],4
4096,0.4868607521057129,4,0.0362,1686300.0,80300,[80300],999,[999],5
4096,0.4901092052459717,4,0.0362,1686300.0,80300,[80300],999,[999],6
4096,0.48408055305480957,4,0.0363,1686300.0,80300,[80300],999,[999],7
4096,0.4896719455718994,4,0.0376,1686300.0,80300,[80300],999,[999],8
4096,0.4952206611633301,4,0.0363,1686300.0,80300,[80300],999,[999],9
4096,0.4904003143310547,4,0.0369,1686300.0,80300,[80300],999,[999],10
8192,0.5053331851959229,4,0.0404,3292300.0,80300,[80300],999,[999],1
8192,0.490192174911499,4,0.0373,3292300.0,80300,[80300],999,[999],2
8192,0.4355435371398926,4,0.036,3292300.0,80300,[80300],999,[999],3
8192,0.49280691146850586,4,0.0369,3292300.0,80300,[80300],999,[999],4
8192,0.482757568359375,4,0.0368,3292300.0,80300,[80300],999,[999],5
8192,0.4886665344238281,4,0.0362,3292300.0,80300,[80300],999,[999],6
8192,0.48807454109191895,4,0.0361,3292300.0,80300,[80300],999,[999],7
8192,0.48608946800231934,4,0.0361,3292300.0,80300,[80300],999,[999],8
8192,0.48616456985473633,4,0.0363,3292300.0,80300,[80300],999,[999],9
8192,0.4381444454193115,4,0.036,3292300.0,80300,[80300],999,[999],10
16384,0.4864373207092285,4,0.0374,6584600.0,80300,[80300],999,[999],1
16384,0.49057960510253906,4,0.0367,6584600.0,80300,[80300],999,[999],2
