all_requests,computing_time,solver_status,solve_time,objective_value,all_emissions,slot_emissions,all_errors,slot_errors,iteration
16384,0.48593759536743164,4,0.039,6584600.0,80300,[80300],999,[999],3
16384,0.49933457374572754,4,0.0391,6584600.0,80300,[80300],999,[999],4
16384,0.49201011657714844,4,0.0385,6584600.0,80300,[80300],999,[999],5
16384,0.48978304862976074,4,0.0391,6584600.0,80300,[80300],999,[999],6
16384,0.48714685440063477,4,0.0398,6584600.0,80300,[80300],999,[999],7
16384,0.49990034103393555,4,0.0395,6584600.0,80300,[80300],999,[999],8
16384,0.49345970153808594,4,0.0368,6584600.0,80300,[80300],999,[999],9
16384,0.49147820472717285,4,0.0363,6584600.0,80300,[80300],999,[999],10
32768,0.43790125846862793,4,0.036,13169200.0,80300,[80300],999,[999],1
32768,0.46805524826049805,4,0.036,13169200.0,80300,[80300],999,[999],2
32768,0.47928595542907715,4,0.0358,13169200.0,80300,[80300],999,[999],3
32768,0.4800546169281006,4,0.0365,13169200.0,80300,[80300],999,[999],4
32768,0.44390416145324707,4,0.0358,13169200.0,80300,[80300],999,[999],5
32768,0.49362874031066895,4,0.0359,13169200.0,80300,[80300],999,[999],6
32768,0.4801602363586426,4,0.0389,13169200.0,80300,[80300],999,[999],7
32768,0.4841001033782959,4,0.0363,13169200.0,80300,[80300],999,[999],8
32768,0.44762396812438965,4,0.0363,13169200.0,80300,[80300],999,[999],9
32768,0.48195314407348633,4,0.0361,13169200.0,80300,[80300],999,[999],10
65536,0.4519326686859131,4,0.0371,26338400.0,80300,[80300],999,[999],1
65536,0.49668312072753906,4,0.0429,26338400.0,80300,[80300],999,[999],2
65536,0.4907345771789551,4,0.0386,26338400.0,80300,[80300],999,[999],3
65536,0.507904052734375,4,0.0369,26338400.0,80300,[80300],999,[999],4
65536,0.49389052391052246,4,0.0361,26338400.0,80300,[80300],999,[999],5
65536,0.48858189582824707,4,0.0367,26338400.0,80300,[80300],999,[999],6
65536,0.4890134334564209,4,0.0367,26338400.0,80300,[80300],999,[999],7
65536,0.4916810989379883,4,0.0393,26338400.0,80300,[80300],999,[999],8
65536,0.43288350105285645,4,0.0365,26338400.0,80300,[80300],999,[999],9
65536,0.4894115924835205,4,0.0362,26338400.0,80300,[80300],999,[999],10
131072,0.43578624725341797,4,0.037,52676800.0,80300,[80300],999,[999],1
131072,0.49298954010009766,4,0.0409,52676800.0,80300,[80300],999,[999],2
131072,0.48592042922973633,4,0.0374,52676800.0,80300,[80300],999,[999],3
131072,0.4905552864074707,4,0.0394,52676800.0,80300,[80300],999,[999],4
131072,0.49007725715637207,4,0.0366,52676800.0,80300,[80300],999,[999],5
131072,0.48641395568847656,4,0.0364,52676800.0,80300,[80300],999,[999],6
131072,0.489823579788208,4,0.0371,52676800.0,80300,[80300],999,[999],7
131072,0.4851200580596924,4,0.0366,52676800.0,80300,[80300],999,[999],8
131072,0.4896843433380127,4,0.0364,52676800.0,80300,[80300],999,[999],9
131072,0.4931929111480713,4,0.0361,52676800.0,80300,[80300],999,[999],10
